,StockRow,Stock#,intercept,slope,standard_error,t_stat_car,car_value,eve_win_size
0,62,186,0.0013881017012413598,0.22756530911572548,0.014915821292831461,0.3841742030557386,0.024476253872380956,21
0,63,189,0.0007223567401989657,0.4413766834176537,0.01343125187704223,-0.47295172131938984,-0.0216573973983126,21
0,64,192,0.0005811889728011425,0.4225064278904639,0.01330096680080007,0.41631726951677367,0.028015008148827982,21
0,65,195,0.0007071837892242666,0.4177302087784227,0.014565618980681516,0.5551901630273103,0.02504952920405448,21
0,66,198,0.00046147187457300774,0.4210282917784224,0.0147437645530284,1.003235888805894,0.04516357300456582,21
0,67,201,0.0007964817788519962,0.5495230074474051,0.015125278926747924,-0.5921589976743997,-0.04385793049646937,21
0,68,204,0.0008379973742076091,0.5762268517511715,0.015746744706869254,-0.01647940153956006,-0.00107773071979431,21
0,69,207,0.0004894584763915047,0.5991336812363173,0.017006666429314088,-0.13814747498794586,-0.009234245756832496,21
0,70,210,6.151698450927877e-05,0.6442375645491589,0.017629696326442096,-1.3716683638802303,-0.07399471703830264,21
0,71,213,-0.00013431738723192075,0.6847244396042397,0.017608497397232515,0.14106907999566057,0.009097534874004224,21
0,72,216,-0.0001032906413068105,0.6571336340810503,0.01719221423145829,-0.07508378672844097,-0.007794978211340842,21
0,73,219,0.0005620748635144756,0.5491774429423993,0.015126372638720628,-0.2872328264470748,-0.039915743991485494,21
0,74,222,0.0015942612102757972,0.2906398675169022,0.016360331933792324,-2.7459285658875223,-0.147080070154178,21
0,75,225,0.0016248648120396698,0.4820618913374923,0.016682457368317843,-0.8997641503809711,-0.058040841015721184,21
0,76,228,0.0014647967130299539,0.47099066099858283,0.016317472360511558,0.3397304446887208,0.029646376964307802,21
0,77,231,0.0017428092500069445,0.4269605634225439,0.01644619342963352,-1.2182971349733498,-0.08845801963354344,21
0,78,234,9.176311527438056e-05,0.17866022803246315,0.010323883965153716,0.48645256156650446,0.01043409523893372,21
0,79,237,-0.0006235273766463441,0.6077272780773428,0.0100001544557329,0.7643896126430951,0.02473617795037826,21
0,80,240,-0.00012177240277238679,0.3863387823161526,0.012759092216291335,0.12188034387973744,0.0038924203815567764,21
0,81,243,-0.00048599161400617724,0.3698431326157366,0.012816296195105123,1.397697585782427,0.07608901299870026,21
0,82,246,0.0016717737705805923,0.9281144035826769,0.016929647319058758,0.3211971911684114,0.03313254974938864,21
0,83,249,0.0008225549305564716,0.9092825551197825,0.01776592700017306,0.2438171804832066,0.024904567883495227,21
0,84,252,0.0011975104957488887,0.8988533022579688,0.01774742363175085,-0.06490829980395413,-0.006831516782421694,21
0,85,255,-0.00016336689516101147,0.5147604792796493,0.013237797736654323,-2.5972121654032096,-0.1568057244709004,21
